,text_lemma
106,bMattyGal Matt pop well help little long tweet Brendan
107,bMrsWhitters Sue pop well drop message advice one little large thxe2x80xa6 httpstcoQt4l5GW1Yh
108,bLfcBull cant raise fraud dispute social medium try tomorrow hopefxe2x80xa6 httpstcof16VGdbcdt
109,bhosey_morgan Ill reply private message John Cass
110,brandomJill Hmm odd come full name post code please well take lookxe2x80xa6 httpstco12UHiJdrqu
111,bGemsActiDerm Ive reply Gemma Nikki
112,bNick_she89 Nicholas sure error mean Are send payment Barclays account pxe2x80xa6 httpstcoJvIIM9r5yp
113,bcallumjohn28 Ah able make enough payment keep limit Callum Cass
114,bg_bonfiglio Ah sound like bit star Giorgio sure stretch statue Ill absolxe2x80xa6 httpstcobrFB2a0zjf
115,bAmyWade_xx Amy message wish see arrange dispute find axe2x80xa6 httpstcoobhHt1Yz3N
116,btripc0de Sorry Michael Like Andy say would speak customer service arrange balance transxe2x80xa6 httpstcou28TLkwCj9
117,b466gw There team member take call day 8am 8pm 0800 151 0xe2x80xa6 httpstcoKqJquLHDrY
118,bWrittenMirror Jay really work hard deal amount querxe2x80xa6 httpstco86lR4tF2er
119,bAlex_IoT Alex little behind get back customer get therexe2x80xa6 httpstcoxAeXik1ubE
120,bRT BarclaysUK The time finally herexe2x80xa6Tune BBC One watch TheBigNightIn 7pm httpstcoPLSucwR7Jt
121,bMSpill01 let know team get back soon Please let know anything else Lisa
122,bPainDiane MSNBC CNN FoxNews NerdWallet credcardGenius Diane youve contact Barclaycard UK notxe2x80xa6 httpstcoWaK4QoAOao
123,bPainDiane Diane youve contact Barclaycard UK able help AskBarclaysUS availaxe2x80xa6 httpstcoZ3wFAXST4K
124,bCarthyB What help Brendan You send youd prefer Sarah
125,bJohnsonator85 Marc take long come back work hard cxe2x80xa6 httpstcoWinf4mAQAq
126,bMs_OgechiU Good know thanks let know xf0x9fx91x8d Brendan
127,bKirstymccoid Kirsty thats great trouble get access yourxe2x80xa6 httpstcoLOO3Yl22X7
128,bBeccaJollyy Becca reply notice havent heard back uxe2x80xa6 httpstcoZtE5kycFIv
129,b6starRanks havent heard back yet appreciate worry youll The team busxe2x80xa6 httpstcoC2lJ2OZCYl
130,bBOOEYBOK No problem Kate patience Please father law name post code phone numberxe2x80xa6 httpstcodatzlbswhl
131,bKerbyEmily HI Emily reply How submit dispute Nicola
132,bdec_900 Dec Sorry case We check status name post code andxe2x80xa6 httpstcodY12zspXcJ
133,bAussieHarj Harj happen Have manage get sort since Brendan
134,bleah_reynoldsx Leah sound like havent bill already make payment recent statxe2x80xa6 httpstcoiFToYNqbHr
135,bMs_OgechiU Have try clearing cache cooky close browser try Brendan
136,bMs_OgechiU Ogechi You drop secure message log Barclaycard Online service Once online dxe2x80xa6 httpstcoMlfuSbPiAW
137,bjennie_eq Hey Jennie could come full name post code please chaxe2x80xa6 httpstco4NlH1NiVAN
138,bneutronflow Danny appreciate come currently payment method arent roaxe2x80xa6 httpstco4CUPHpQUNo
139,bmacgregordude Yes sure Ive pop link Kristos httpstcomPqb4etrYV
140,bLfcBull oh hear fraud take place account Did manage speak witxe2x80xa6 httpstcoWCPdj8yvd6
141,bfran_new Fran Sorry Is change personal credit card account Brendan
142,brwb4590 Ryan dont eta afraid Can post code full name Well look inxe2x80xa6 httpstcoYFMa5XZuqx
143,btim_waghorn Tim reply wait speak phone Ive respond Kev
144,bRobbie_Dazzler Rob Sorry reply We troubleshoot step tryxe2x80xa6 httpstcodbPEUnnUaR
145,bStuPreston Stuart Sorry cant get drop full name postcode contact nxe2x80xa6 httpstcozf7H5L8hp5
146,bHorsfordCPA Sorry apologies Ive noticed location profile Youve reach Barclaycardxe2x80xa6 httpstcoBqgNhZiO9s
147,bmattya5419 Matty UK team cannot help AskBarclaysUS available 9am 5pxe2x80xa6 httpstcoUD6Q4MIEaP
148,bHorsfordCPA Sorry dont understand mean balance card would payxe2x80xa6 httpstcoj8U395yM3E
149,bCliffCartwright Our team work hard odds Cliff We appreciate time takixe2x80xa6 httpstcoB5tH2vYbIW
150,bpaulrhoughton Paul hear youve hear back yet Did process online cxe2x80xa6 httpstcozQlOP8pMIw
151,bColloghi There Sorry youre issue make payment Barclaycard youd like take axe2x80xa6 httpstcokLytDnpshM
152,bTishtoshtee We cant access account help via social medium afraid The best thing would give txe2x80xa6 httpstcoArXKuq9KPt
153,bdsa0905 Danielle reply wait speak phone Did manxe2x80xa6 httpstcoJAYovQXQrF
154,btavish_86 Hiya Andy thanks patience Wed keep fund one side could arrange get themxe2x80xa6 httpstcoASWuRV5Jqo
155,bneilhector Neil Sorry reply We troubleshoot step try yxe2x80xa6 httpstco1BGDMQSLKJ
156,bmp81safc No worry Mark take care stay safe Dan
157,bchrislane1313 Chris thanks wait couldnt give estimate afraid Ive see somexe2x80xa6 httpstcodAq4vWPBRC
158,bFiestaman87 Stephen thanks patience Do mean want get remainder fund backxe2x80xa6 httpstco5uy7flgjcL
159,bJamesCooper_94 Ah apology could try clear cache cooky try different browserxe2x80xa6 httpstco0tpsbUj1eu
160,bJennife09331885 Jennifer So long hold time To save hang speak someone canxe2x80xa6 httpstcors9UngFox5
161,bAmandajacobs100 Amanda reply see colleague pick Let kxe2x80xa6 httpstcoRn9nEeEh5j
162,bLaurenGxdfrey Lauren Ive reply Nic
163,bArchesukRob Hey Rob thanks Tweet What try Pop youd prefer Ashleigh httpstcomPqb4eL2Qt
164,bNimmo_7 Liam havent stop interest credit card Heres link info support ourxe2x80xa6 httpstcoc03qyzTjWV
165,bmichelle_ianson Hello Michelle thanks message When say youve raise raixe2x80xa6 httpstcod9abc8sBY7
166,bHorsfordCPA Hello thanks Tweet appreciate frustrate two way txe2x80xa6 httpstcoO3kq9ygzM9
167,bMgrayso86353221 Thats great news glad Dean could help nnStay safe nBrendan
168,braymondphill HI Raymond Sorry reply Could pop We discuss nexe2x80xa6 httpstcoyj1XslRcwu
169,bowennandrews Owen team office Ill reply Nikki
170,bOggieoi TUIUK However youre unable get refund two method read protecxe2x80xa6 httpstcordzvYEw5HS
171,bOggieoi TUIUK First thing would ask Tui refund theyre unable offer refund youd needxe2x80xa6 httpstcoLf6rPLan3h
172,bOggieoi TUIUK Oggy Sorry reply Although know cancellation likely wed neexe2x80xa6 httpstcoXL0e0MBG2H
173,bnotmewhome advise take nine work day hopefully youll hear today tomorrow Cass
174,bDarrenMannAM1 Darren long hold time relation online app issue lxe2x80xa6 httpstcomoihGSxLnP
175,bburble61 Aw thanks message We think shes great Ill let know xf0x9fx98x8a Nicola
176,b14pricey14 We page dedicated give tool information Please sxe2x80xa6 httpstcoSfBhFNIwKO
177,bLamb2ja James nnSorry forget back latennYou request transfer credit balance bxe2x80xa6 httpstco7LpJxqeoBh
178,bgormleyb Ah see So run run troubleshoot step could please pop toxe2x80xa6 httpstcos1ELCu7Kwj
179,bPorkchoppers2 Sorry reply Youd contact Ryanair request refund butxe2x80xa6 httpstconjHNMUZnj9
180,bJayTurnr J Sorry reply youve used Barclaycard purchase ticket youd fixe2x80xa6 httpstcoDwZqFaUFsS
181,bFitzgSP Great news xf0x9fx91x8d Again anything else please let know Nicola
182,bgormleyb take minute sign pop httpstcoslprCvBk3E select Regixe2x80xa6 httpstcoegZx7hoxjA
183,bgormleyb Thats strange long error showing Also access MyBarxe2x80xa6 httpstcopYpLcbazg6
184,bRyanHam11591882 HI Ryan Sorry reply To close account wed speak You canxe2x80xa6 httpstcogbPRHTdr5G
185,bengineertaudio Tom advisor work quickly answer customer query youxe2x80xa6 httpstco6kO84A9cgh
186,bP_Mack10 Paul team work hard get message due few staff high volume ixe2x80xa6 httpstco0zG2ofPF4n
187,bFitzgSP Sam really wait Did manage speak anyone tell litxe2x80xa6 httpstcoZLhJ0Srmro
188,bScammers sell personal protective equipment like mask treatment coronavirus never arrive orxe2x80xa6 httpstco7K67GSDAGn
189,brelie_artist HI RichIm really Did manage speak anyone tell axe2x80xa6 httpstcoFFdUmlllWV
190,bglh1701 Ill look G Nikki
191,bAbcmsaj Alex want info take look Nikki httpstcomPqb4etrYV
192,bGemsActiDerm Gemma Sorry get back hope youre keep well We couldnt unlxe2x80xa6 httpstcolAP21xsGfW
193,bpetsie7 HI Peter youd like message team It may specialisedxe2x80xa6 httpstcomENsjqx56Z
194,bSaunders5280 You find billing day work link John httpstco52TeyX7qlq Andxe2x80xa6 httpstcodNXclN2LO0
195,bCJ_Marston Connor already register apply Have use activation link Nikki
196,bMarcfasting Of course And theres absolutely apologise Our team try anxe2x80xa6 httpstcoPUWDVxf9Od
197,bMarcfasting Were reply live Twitter view thread like afraid Hence itxe2x80xa6 httpstcoeJE8RJCPuV
198,bNAZIR_A_NAJI We speak well send fund back security reason You get inxe2x80xa6 httpstcoiMQyAImzXR
199,bCraigHayes6 Craig nnIll take You certainly find right also raise axe2x80xa6 httpstcoxmsiMfK9y9
200,bMarcfasting Marc tweet wasnt ignore The team lot work right take somexe2x80xa6 httpstco7gWj7ixqCl
201,bssbib85 something weve set due current situation Were deal much high call voxe2x80xa6 httpstcobct3EgxrLP
202,bNAZIR_A_NAJI Ive reply message Nazir Cass
203,bNAZIR_A_NAJI You request transfer credit balance back bank account online save youxe2x80xa6 httpstcovp6qAYBPqe
204,bkevsilverfox Kevin doesnt look like thats pick Bear Ill pop reply Nikki
205,bMattAtk81372204 It would Matt Nikki
206,bD_Griffiths96 Were deal many dispute moment take little bit longer usual txe2x80xa6 httpstcoufMQr2SAsZ
207,bD_Griffiths96 Were deal many dispute moment take little bit longer usual txe2x80xa6 httpstcoqHdSxKqA9N
208,bRT BarclaysUK Wexe2x80x99ve kickstarted donation xc2xa31 million wexe2x80x99ll match donation pennyforpenny poundforpound oxe2x80xa6
209,bstulcfc help get new card order send name postcode phone number Cass
210,bMissusGT Ashleigh Sorry get back hope youre keep well appreciate thexe2x80xa6 httpstco8RcnPkZtCz
211,bMattAtk81372204 Hey Matt take five work day process credit balance refund Cass
212,bbikerbabe108sc1 there form complete request credit balance refund httpstco60fqQbnoLJ Cass
213,bamcshane123 Ashley application complete online would receive due numxe2x80xa6 httpstcoWOVrUKdD0U
214,bPropel2Steve understand Were 247 get back soon Lisa
215,b_Aam1r Our telephone team really busy moment theyre work extremelyxe2x80xa6 httpstcoNSNZOU3wXb
216,bMichael98859819 Michael Our telephone team really busy moment theyre workinxe2x80xa6 httpstcoAnitMDgEJE
217,bMSpill01 Marie able log account online send secure message well getxe2x80xa6 httpstcogn0BzcZ07w
218,bLT_Bowen Sorry couldnt help Lee Give shout could help anything else though xf0x9fx98x8a Rach
219,bBhavna68681162 With global restriction place teams arent available others functionxe2x80xa6 httpstcoI8Gmuljr2E
220,bfiona2608 Fiona wait ask reason youre try get touch please Ill see wexe2x80xa6 httpstcoj0zuzEKIvG
221,bSophiakhan11K Sophie hold long wish raise complaint canxe2x80xa6 httpstcotdXFDQfH6N
222,btallybookbinder long wait Its great hear get one amaze memxe2x80xa6 httpstcoBov332MJth
223,bAnnetteHenders2 let know Ross
